Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos;Quantidade de Estabelecimentos não ligados à Agricultura Familiar;Quantidade de Estabelecimentos ligados à Agricultura Familiar;Quantidade Produzida (t);Quantidade Produzida (t) não ligada à Agricultura Familiar;Quantidade Produzida (t) ligada à Agricultura Familiar;Quantidade Vendida (t);Quantidade Vendida não ligada à Agricultura Familiar (t);Quantidade Vendida ligada à Agricultura Familiar (t);Valor da Produção Total (em mil R$);Valor da Produção Total não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total ligada à Agricultura Familiar (em mil R$);Valor da Venda Total (em mil R$);Valor da Venda Total não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado (R$) em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado (R$) em 2022 (R$)
Rondônia;RO;1562409;1149180;413229;Chicória;89;12;77;89;7;83;87;5;82;250;70;180;238;60;178;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Chuchu;51;7;44;838;561;277;836;561;274;913;589;324;909;588;321;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Coentro;443;72;371;527;77;450;474;76;398;1702;447;1254;1603;432;1171;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Cogumelos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Couve;1500;207;1293;1145;245;900;1096;236;861;3994;877;3117;3733;819;2914;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Couve-flor;36;9;27;27;2;25;25;0;25;127;12;115;117;3;115;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Ervilha (vagem);3;-;3;0;-;0;0;-;0;0;-;0;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Espinafre;27;3;24;11;0;11;11;0;11;66;2;65;66;2;64;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Gengibre;60;9;51;2;0;2;1;0;1;18;4;14;8;1;7;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Hortelã;85;10;75;34;13;21;34;13;21;198;99;98;196;99;96;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Inhame;541;47;494;2430;205;2225;2106;152;1954;3394;263;3131;2930;200;2730;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Jiló;907;91;816;609;58;550;575;53;522;1085;101;984;1010;92;919;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Manjericão;50;7;43;14;9;5;14;9;5;117;73;44;115;73;42;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Maxixe;493;41;452;412;29;383;391;24;367;514;70;443;460;58;402;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Milho verde (espiga);429;43;386;1510;90;1420;1267;80;1187;1764;93;1671;1430;74;1356;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Morango;5;-;5;0;-;0;0;-;0;1;-;1;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Mostarda (semente);18;2;16;1;X;X;1;X;X;7;X;X;7;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Nabo;3;1;2;0;X;X;0;X;X;1;X;X;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Orégano;3;-;3;0;-;0;0;-;0;8;-;8;8;-;8;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Pepino;999;125;874;3409;264;3144;3344;252;3093;4170;554;3616;4050;526;3524;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Pimenta;650;75;575;264;99;164;257;97;160;948;310;638;924;303;621;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Pimentão;485;52;433;1132;340;792;1120;339;781;2414;1077;1337;2383;1075;1308;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Quiabo;1199;137;1062;867;55;812;818;49;769;1871;123;1748;1756;110;1646;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Rabanete;30;5;25;13;9;4;13;8;4;53;42;11;52;41;10;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Repolho;36;5;31;231;3;228;228;1;227;332;5;327;327;2;325;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Rúcula;1012;129;883;510;105;405;482;100;382;2643;680;1963;2455;643;1812;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Salsa;398;64;334;322;54;267;314;51;263;935;415;520;894;386;508;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Taioba;264;17;247;10;1;10;3;0;2;39;3;36;13;1;12;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Tomate (estaqueado);599;55;544;2274;344;1929;2211;339;1872;4670;1107;3562;4520;1087;3433;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rondônia;RO;1562409;1149180;413229;Vagem (feijão vagem);196;27;169;215;7;208;213;7;206;458;29;429;447;27;420;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Abobrinha;73;16;57;144;51;93;120;50;70;264;62;202;210;61;149;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Acelga;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Agrião;4;3;1;4;X;X;4;X;X;26;X;X;26;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Alecrim;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Alface;268;39;229;644;60;585;582;35;547;2695;281;2414;2519;216;2303;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Alho-porró;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Almeirão;9;3;6;12;10;2;12;10;2;39;29;10;39;29;10;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Aspargo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Batata-baroa (mandioquinha);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Batata-doce;1208;48;1160;1101;191;910;327;159;168;3165;398;2767;794;331;463;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Berinjela;39;7;32;69;26;43;63;26;37;161;51;110;146;50;96;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Bertalha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Beterraba;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Boldo;9;4;5;0;0;0;-;-;-;0;0;0;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Bucha (esponja vegetal);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Camomila;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Caruru;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Cará;878;36;842;337;24;312;1;0;1;1147;87;1061;3;0;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Cebolinha;492;83;409;515;48;467;501;47;454;2153;206;1948;2055;198;1856;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Cenoura;4;2;2;5;X;X;4;X;X;27;X;X;26;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Chicória;29;8;21;1;0;1;1;0;0;7;2;5;6;2;4;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Chuchu;4;1;3;41;X;X;41;X;X;54;X;X;54;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Coentro;407;76;331;412;50;362;399;49;350;1914;312;1602;1810;307;1504;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Cogumelos;183;4;179;2;0;2;2;0;2;75;2;73;74;2;73;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Couve;212;34;178;260;13;248;258;12;246;737;68;668;723;64;659;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Couve-flor;9;1;8;22;X;X;22;X;X;74;X;X;73;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Ervilha (vagem);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Espinafre;2;2;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Gengibre;3;-;3;0;-;0;0;-;0;1;-;1;1;-;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Hortelã;12;2;10;9;X;X;8;X;X;27;X;X;27;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Inhame;925;30;895;255;15;241;1;-;1;812;40;772;2;-;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Jiló;28;3;25;33;10;23;31;10;21;83;3;80;76;3;73;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Manjericão;8;2;6;4;X;X;4;X;X;14;X;X;14;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Maxixe;228;52;176;331;27;304;291;26;265;803;73;730;668;71;597;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Milho verde (espiga);198;40;158;733;363;371;648;343;305;1065;510;555;930;475;455;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Morango;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Mostarda (semente);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Nabo;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Orégano;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Pepino;131;30;101;383;90;293;344;90;254;523;119;404;451;119;332;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Pimenta;1195;105;1090;648;250;397;615;247;368;2441;1202;1239;2233;1178;1055;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Pimentão;68;22;46;237;133;104;235;133;103;695;367;329;684;365;319;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Quiabo;159;34;125;190;62;128;179;62;117;649;173;476;590;173;418;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Rabanete;3;2;1;6;X;X;6;X;X;27;X;X;27;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Repolho;9;3;6;40;34;6;40;34;6;90;79;11;90;79;10;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Rúcula;56;12;44;66;25;41;59;25;34;394;155;239;378;155;223;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Salsa;26;8;18;8;1;7;8;1;7;49;5;45;49;5;45;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Taioba;147;4;143;205;1;204;1;-;1;752;2;751;2;-;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Tomate (estaqueado);221;49;172;530;126;404;524;124;401;1650;463;1186;1627;455;1171;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Roraima;RR;450479;344859;105620;Vagem (feijão vagem);7;3;4;10;2;8;10;2;8;41;11;30;41;11;30;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Abobrinha;1552;206;1346;2603;532;2071;2502;500;2002;2565;587;1978;2441;564;1876;3125,13;5555,08;1,78;5352,69;10913,58;2,04;6025,47;11182,35;1,86;5220,78;14002,04;2,68;5764,53;19340,65;3,36
Rio Grande do Sul;RS;10693929;9100291;1593638;Acelga;120;14;106;279;47;232;270;47;224;627;128;500;616;128;489;0,64;1,5;2,36;1,85;3,97;2,14;3,44;6,96;2,02;5,33;14,79;2,78;5,4;10,8;2
Rio Grande do Sul;RS;10693929;9100291;1593638;Agrião;477;74;403;1059;219;840;1033;215;818;3762;978;2784;3644;949;2696;248,8;865,38;3,48;282,08;1203,8;4,27;236,44;962,7;4,07;196,35;769,65;3,92;313,06;1755,54;5,61
Rio Grande do Sul;RS;10693929;9100291;1593638;Alcachofra;32;6;26;13;2;11;12;2;11;52;3;48;50;3;47;1,38;25,98;18,84;1,02;20,0;19,51;1,09;23,65;21,64;0,82;18,66;22,81;1,11;28,66;25,84
Rio Grande do Sul;RS;10693929;9100291;1593638;Alecrim;124;28;96;26;2;24;25;2;23;266;10;256;257;10;248;1,76;9,77;5,55;15,1;78,98;5,23;9,28;48,77;5,25;0,52;3,11;6,01;1,05;8,57;8,14
Rio Grande do Sul;RS;10693929;9100291;1593638;Alface;6893;960;5933;38717;12370;26347;36402;11866;24537;98500;33714;64786;92744;32291;60453;5220,83;11510,7;2,2;7928,55;21662,75;2,73;7286,39;16015,49;2,2;7253,61;16874,08;2,33;10586,04;37080,87;3,5
Rio Grande do Sul;RS;10693929;9100291;1593638;Alho-porró;283;37;246;258;30;228;230;29;200;1515;374;1141;1428;371;1058;80,12;507,85;6,34;116,92;966,7;8,27;182,48;1300,05;7,12;186,61;1544,95;8,28;245,43;3557,19;14,49
Rio Grande do Sul;RS;10693929;9100291;1593638;Almeirão;501;75;426;1007;317;690;927;286;641;2928;1010;1918;2790;982;1808;108,77;501,31;4,61;143,27;839,27;5,86;126,06;645,64;5,12;100,65;496,21;4,93;127,2;854,52;6,72
Rio Grande do Sul;RS;10693929;9100291;1593638;Aspargo;4;1;3;2;X;X;2;X;X;13;X;X;13;X;X;X;X;X;X;X;X;X;X;X;X;X;X;0,01;1,1;78,33
Rio Grande do Sul;RS;10693929;9100291;1593638;Batata-baroa (mandioquinha);49;6;43;54;15;38;51;15;36;181;91;91;178;91;87;76,35;565,24;7,4;104,36;1012,7;9,7;90,62;921,97;10,17;118,4;1445,22;12,21;81,56;1518,58;18,62
Rio Grande do Sul;RS;10693929;9100291;1593638;Batata-doce;5222;556;4666;47604;7763;39841;45397;7541;37856;36389;6032;30357;33780;5813;27967;15673,61;20301,1;1,3;25825,95;38193,29;1,48;25221,0;45413,0;1,8;25340,6;47781,79;1,89;26346,95;71950,63;2,73
Rio Grande do Sul;RS;10693929;9100291;1593638;Berinjela;511;72;439;1200;325;875;1177;320;857;1584;426;1158;1539;416;1124;1536,32;3058,62;1,99;2339,83;15837,0;6,77;2194,34;6477,01;2,95;1966,99;7795,77;3,96;1815,72;8510,21;4,69
Rio Grande do Sul;RS;10693929;9100291;1593638;Bertalha;8;1;7;4;X;X;3;X;X;28;X;X;27;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Beterraba;3358;392;2966;18688;12183;6505;18374;12049;6325;15871;7901;7970;15375;7760;7614;6464,84;9031,79;1,4;10462,3;118046,12;11,28;11609,88;22083,59;1,9;11705,29;26324,84;2,25;9892,51;34450,11;3,48
Rio Grande do Sul;RS;10693929;9100291;1593638;Boldo;26;10;16;0;0;0;0;0;0;3;1;2;2;1;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Bucha (esponja vegetal);13;2;11;1;X;X;1;X;X;4;X;X;4;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Camomila;49;12;37;4;2;2;4;2;2;36;4;31;35;4;31;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Caruru;6;-;6;0;-;0;0;-;0;1;-;1;1;-;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Cará;15;1;14;4;X;X;4;X;X;19;X;X;18;X;X;18,17;86,67;4,77;44,67;196,27;4,39;68,47;379,85;5,55;63,46;364,2;5,74;56,06;387,63;6,91
Rio Grande do Sul;RS;10693929;9100291;1593638;Cebolinha;2264;344;1920;2012;552;1460;1926;535;1391;7585;1885;5701;7265;1825;5440;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Cenoura;2231;297;1934;41922;34754;7168;41671;34738;6933;33448;24891;8557;33150;24871;8279;12329,12;18850,15;1,53;18902,17;44915,19;2,38;19129,55;42625,4;2,23;19939,05;43730,48;2,19;15965,13;63245,99;3,96
Rio Grande do Sul;RS;10693929;9100291;1593638;Chicória;518;68;450;939;127;812;858;123;735;1850;291;1559;1697;273;1424;71,12;128,49;1,81;121,38;274,14;2,26;65,23;128,59;1,97;50,58;107,36;2,12;35,58;120,61;3,39
Rio Grande do Sul;RS;10693929;9100291;1593638;Chuchu;927;102;825;1290;77;1212;1225;72;1153;1045;90;955;957;81;876;6685,47;8359,87;1,25;9514,44;16942,07;1,78;11703,73;21304,53;1,82;11550,45;20696,37;1,79;11005,85;29019,68;2,64
Rio Grande do Sul;RS;10693929;9100291;1593638;Coentro;55;12;43;104;91;13;104;91;12;752;708;43;749;708;40;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Cogumelos;19;5;14;127;40;88;112;40;72;2789;860;1929;2422;860;1562;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Couve;3302;407;2895;8562;2035;6527;8250;1968;6283;20229;5967;14262;19436;5695;13741;1834,11;3448,77;1,88;2587,52;6106,83;2,36;2901,14;6220,87;2,14;2923,13;6170,14;2,11;4407,57;12502,04;2,84
Rio Grande do Sul;RS;10693929;9100291;1593638;Couve-flor;2505;256;2249;11628;2108;9521;11196;2001;9195;19545;4434;15111;18537;4242;14295;5884,78;6567,79;1,12;8655,75;16043,63;1,85;9605,96;11372,2;1,18;9450,11;12254,21;1,3;8606,24;14304,72;1,66
Rio Grande do Sul;RS;10693929;9100291;1593638;Ervilha (vagem);377;48;329;78;11;67;74;11;63;437;68;369;414;66;347;64,81;816,83;12,6;90,32;1280,45;14,18;118,95;2033,6;17,1;88,28;1965,27;22,26;92,14;2609,97;28,33
Rio Grande do Sul;RS;10693929;9100291;1593638;Espinafre;698;83;615;1116;168;948;1027;152;876;3842;591;3251;3607;541;3066;314,38;779,37;2,48;435,95;1378,79;3,16;444,63;1134,32;2,55;382,39;901,93;2,36;311,04;1113,05;3,58
Rio Grande do Sul;RS;10693929;9100291;1593638;Gengibre;48;11;37;20;12;8;20;12;8;135;111;25;135;110;24;298,97;1453,36;4,86;470,11;1863,14;3,96;783,67;6310,84;8,05;579,77;5565,53;9,6;630,64;4723,7;7,49
Rio Grande do Sul;RS;10693929;9100291;1593638;Hortelã;110;24;86;45;11;33;41;11;30;174;56;118;168;56;112;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Inhame;32;4;28;30;15;15;28;15;13;98;61;36;95;61;34;34,11;126,67;3,71;59,15;270,91;4,58;84,6;465,57;5,5;97,81;608,88;6,23;102,17;852,51;8,34
Rio Grande do Sul;RS;10693929;9100291;1593638;Jiló;2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;10,68;72,72;6,81;18,42;125,27;6,8;17,79;125,01;7,03;25,81;297,11;11,51;14,84;166,12;11,19
Rio Grande do Sul;RS;10693929;9100291;1593638;Lentilha;6;3;3;1;0;0;0;0;0;3;2;1;2;2;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Manjericão;160;30;130;66;9;57;63;9;55;364;61;303;342;61;281;7,98;31,91;4;24,32;97,24;4;17,04;68,19;4;1,03;4,84;4,69;1,4;8,95;6,37
Rio Grande do Sul;RS;10693929;9100291;1593638;Maxixe;10;2;8;1;X;X;0;X;X;2;X;X;2;X;X;0,76;4,44;5,86;2,04;12,02;5,9;3,59;25,24;7,04;3,4;29,65;8,72;3,72;40,87;11
Rio Grande do Sul;RS;10693929;9100291;1593638;Milho verde (espiga);1290;131;1159;7198;1242;5956;6979;1217;5762;7935;995;6940;7639;972;6667;2566,56;3862,92;1,51;3358,63;6136,52;1,83;4345,61;10509,84;2,42;4449,27;13036,55;2,93;2682,56;10099,85;3,77
Rio Grande do Sul;RS;10693929;9100291;1593638;Morango;2049;245;1804;13256;5770;7486;13070;5709;7362;92840;35888;56953;91105;35536;55569;1784,69;18194,24;10,19;2735,57;31566,81;11,54;3109,94;37722,87;12,13;3110,62;38147,89;12,26;3519,21;50248,98;14,28
Rio Grande do Sul;RS;10693929;9100291;1593638;Mostarda (semente);122;18;104;158;56;102;156;56;100;719;340;378;713;340;373;103,99;222,39;2,14;178,76;578,36;3,24;158,27;349,97;2,21;171,31;456,87;2,67;147,07;492,77;3,35
Rio Grande do Sul;RS;10693929;9100291;1593638;Nabo;146;19;127;149;46;103;121;21;100;241;81;160;186;31;155;39,75;46,97;1,18;38,55;55,15;1,43;148,1;262,65;1,77;94,37;310,74;3,29;115,29;292,81;2,54
Rio Grande do Sul;RS;10693929;9100291;1593638;Orégano;55;8;47;5;0;5;5;0;5;65;4;61;62;3;59;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Pepino;3560;348;3212;8142;1022;7120;7977;1011;6966;13486;1607;11879;13115;1576;11538;6574,87;11052,66;1,68;10770,23;24011,38;2,23;10607,78;23248,06;2,19;10815,98;28327,67;2,62;10789,25;40929,67;3,79
Rio Grande do Sul;RS;10693929;9100291;1593638;Pimenta;255;27;228;112;14;97;97;14;83;540;44;496;453;44;409;114,98;1074,7;9,35;217,29;2116,91;9,74;405,31;4012,16;9,9;220,32;2773,88;12,59;144,03;2083,26;14,46
Rio Grande do Sul;RS;10693929;9100291;1593638;Pimentão;1506;158;1348;5339;1041;4298;5259;1037;4222;9195;1549;7646;9032;1539;7492;5921,31;18612,16;3,14;8546,38;80826,74;9,46;8774,53;36449,34;4,15;8350,38;44325,5;5,31;7693,12;54073,4;7,03
Rio Grande do Sul;RS;10693929;9100291;1593638;Quiabo;92;8;84;56;7;48;55;7;48;170;27;142;168;27;141;148,71;1041,53;7;186,08;1686,17;9,06;191,76;2107,57;10,99;181,76;1998,29;10,99;141,85;1986,18;14
Rio Grande do Sul;RS;10693929;9100291;1593638;Rabanete;1454;135;1319;1718;279;1439;1674;258;1416;3182;318;2865;3104;294;2811;793,54;1921,29;2,42;967,37;2795,62;2,89;1107,46;3227,03;2,91;1003,56;3377,05;3,37;929,01;3829,13;4,12
Rio Grande do Sul;RS;10693929;9100291;1593638;Repolho;4962;563;4399;38240;8652;29589;34529;7794;26736;29829;8335;21494;27563;7857;19706;15656,2;9279,79;0,59;22689,98;23743,9;1,05;34094,65;33829,52;0,99;27745,68;33070,93;1,19;18597,1;41377,75;2,22
Rio Grande do Sul;RS;10693929;9100291;1593638;Rúcula;1799;220;1579;4361;1374;2987;4170;1352;2818;16271;5355;10915;15614;5257;10357;525,9;2911,4;5,54;759,55;5164,84;6,8;744,84;4372,7;5,87;725,71;4290,94;5,91;765,82;7175,58;9,37
Rio Grande do Sul;RS;10693929;9100291;1593638;Salsa;3423;486;2937;3629;946;2684;3472;925;2548;14968;4509;10459;14248;4427;9821;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Rio Grande do Sul;RS;10693929;9100291;1593638;Taioba;1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
