Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos;Quantidade de Estabelecimentos não ligados à Agricultura Familiar;Quantidade de Estabelecimentos ligados à Agricultura Familiar;Quantidade Produzida (t);Quantidade Produzida (t) não ligada à Agricultura Familiar;Quantidade Produzida (t) ligada à Agricultura Familiar;Quantidade Vendida (t);Quantidade Vendida não ligada à Agricultura Familiar (t);Quantidade Vendida ligada à Agricultura Familiar (t);Valor da Produção Total (em mil R$);Valor da Produção Total não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total ligada à Agricultura Familiar (em mil R$);Valor da Venda Total (em mil R$);Valor da Venda Total não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado (R$) em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado (R$) em 2022 (R$)
Maranhão;MA;6574789;4147149;2427640;Alecrim;2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Alface;2236;235;2001;4035;1478;2558;3957;1470;2487;11428;3523;7905;11149;3498;7651;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Alho-porró;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Almeirão;4;1;3;1;X;X;1;X;X;7;X;X;7;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Aspargo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Batata-baroa (mandioquinha);6;1;5;5;X;X;4;X;X;11;X;X;9;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Batata-doce;284;32;252;142;37;105;121;35;86;248;45;203;200;40;160;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Berinjela;116;20;96;55;15;39;53;15;38;99;25;75;96;23;73;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Bertalha;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Beterraba;12;2;10;1;X;X;1;X;X;3;X;X;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Boldo;8;1;7;1;X;X;1;X;X;2;X;X;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Bucha (esponja vegetal);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Camomila;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Caruru;3;1;2;1;X;X;1;X;X;6;X;X;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Cará;47;1;46;43;X;X;38;X;X;66;X;X;59;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Cebolinha;3223;369;2854;2831;707;2124;2776;703;2073;10228;1919;8309;9969;1899;8070;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Cenoura;13;2;11;7;X;X;6;X;X;17;X;X;16;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Chicória;2;1;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Chuchu;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Coentro;3166;350;2816;3098;465;2633;3011;461;2550;13543;2080;11463;13149;2059;11090;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Cogumelos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Couve;1437;151;1286;1137;124;1013;1123;122;1001;4405;539;3867;4337;533;3804;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Couve-flor;52;5;47;56;36;20;56;36;20;256;185;71;254;185;69;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Ervilha (vagem);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Espinafre;13;2;11;9;X;X;9;X;X;57;X;X;57;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Gengibre;13;2;11;0;X;X;0;X;X;3;X;X;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Hortelã;36;8;28;15;3;12;15;3;12;43;15;28;43;15;28;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Inhame;94;6;88;473;38;435;426;38;389;725;83;641;669;83;585;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Jiló;62;14;48;315;9;305;300;9;291;540;24;515;536;24;511;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Manjericão;26;6;20;8;4;4;8;4;4;36;17;20;36;17;19;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Maxixe;2564;319;2245;2774;219;2555;2587;212;2375;5506;453;5053;5228;439;4789;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Milho verde (espiga);3846;496;3350;4883;1073;3809;4153;1023;3130;7681;1649;6031;6540;1549;4991;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Morango;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Mostarda (semente);1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Nabo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Orégano;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Pepino;890;133;757;1005;215;790;976;211;765;1195;261;933;1148;257;891;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Pimenta;1118;148;970;655;152;503;645;151;495;2569;471;2098;2523;463;2060;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Pimentão;411;79;332;831;222;610;827;220;606;1779;470;1309;1768;468;1300;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Quiabo;2333;283;2050;2992;325;2667;2845;320;2525;6869;804;6064;6649;790;5859;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Rabanete;12;5;7;5;4;1;5;4;1;16;11;5;16;11;5;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Repolho;21;5;16;67;21;46;67;21;46;78;29;48;78;29;48;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Rúcula;273;40;233;272;90;182;265;86;179;1140;411;729;1080;372;708;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Maranhão;MA;6574789;4147149;2427640;Salsa;143;22;121;128;16;111;127;16;111;329;83;246;328;83;245;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
