Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Cogumelos;Goiás;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;GO;6003788;5420714;583074;4.218;126.233,63;29,93
Couve;Goiás;2.051;431;1.620;3.148;1.053;2.095;Toneladas;2.964;984;1.980;12.385;4.158;8.227;11.628;3.906;7.722;GO;6003788;5420714;583074;1.423.045;13.199.569,50;9,28
Couve-flor;Goiás;262;58;204;2.159;285;1.873;Toneladas;2.088;282;1.806;4.753;694;4.059;4.624;681;3.944;GO;6003788;5420714;583074;X;X;X
Couve-flor;Goiás;262;58;204;2.159;285;1.873;Toneladas;2.088;282;1.806;4.753;694;4.059;4.624;681;3.944;GO;6003788;5420714;583074;32.211.491;52.312.643,90;1,62
Espinafre;Goiás;189;57;132;88;35;53;Toneladas;81;33;48;463;182;281;421;171;251;GO;6003788;5420714;583074;73.041;315.647,06;4,32
Gengibre;Goiás;33;7;26;3;0;3;Toneladas;3;0;3;29;2;28;29;1;27;GO;6003788;5420714;583074;7.546.200;34.078.053,22;4,52
Hortelã;Goiás;269;65;204;129;38;91;Toneladas;120;37;83;651;282;369;595;263;333;GO;6003788;5420714;583074;274.005;2.357.998,49;8,61
Inhame;Goiás;101;20;81;1.303;155;1.148;Toneladas;1.292;154;1.138;1.906;218;1.688;1.882;215;1.667;GO;6003788;5420714;583074;53.349.120;145.762.569,02;2,73
Jiló;Goiás;1.505;244;1.261;7.278;1.953;5.325;Toneladas;7.158;1.946;5.211;10.774;2.628;8.146;10.595;2.614;7.982;GO;6003788;5420714;583074;35.808.298;89.958.187,74;2,51
Lentilha;Goiás;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;GO;6003788;5420714;583074;X;X;X
Manjericão;Goiás;133;45;88;79;15;64;Toneladas;75;13;62;270;125;145;243;110;133;GO;6003788;5420714;583074;21.076;369.400,56;17,53
Maxixe;Goiás;311;46;265;410;35;375;Toneladas;402;32;370;689;57;633;678;53;625;GO;6003788;5420714;583074;2.637.181;7.714.407,87;2,93
Morango;Goiás;40;11;29;193;64;129;Toneladas;192;63;129;2.038;474;1.564;2.031;468;1.564;GO;6003788;5420714;583074;183.509.882;233.558.784,56;1,27
Morango;Goiás;40;11;29;193;64;129;Toneladas;192;63;129;2.038;474;1.564;2.031;468;1.564;GO;6003788;5420714;583074;3.210.456;50.529.933,36;15,74
Nabo;Goiás;39;15;24;24;18;6;Toneladas;23;18;6;54;34;20;53;34;19;GO;6003788;5420714;583074;97.853;378.263,45;3,87
Orégano;Goiás;18;4;14;46;0;45;Toneladas;46;0;45;21;2;19;21;2;18;GO;6003788;5420714;583074;9.090;358.566,50;39,45
Pepino;Goiás;617;122;495;3.724;890;2.834;Toneladas;3.667;877;2.790;4.171;950;3.221;4.094;934;3.160;GO;6003788;5420714;583074;100.250.599;247.066.233,07;2,46
Pimenta;Goiás;1.268;235;1.033;2.296;914;1.382;Toneladas;2.256;912;1.344;8.337;2.516;5.821;7.992;2.497;5.495;GO;6003788;5420714;583074;6.795.342;80.225.611,41;11,81
Pimenta;Goiás;1.268;235;1.033;2.296;914;1.382;Toneladas;2.256;912;1.344;8.337;2.516;5.821;7.992;2.497;5.495;GO;6003788;5420714;583074;23.697.060;83.601.502,09;3,53
Quiabo;Goiás;1.457;257;1.200;6.683;1.050;5.634;Toneladas;6.590;1.043;5.547;14.364;2.471;11.893;14.131;2.459;11.672;GO;6003788;5420714;583074;34.476.175;120.758.533,63;3,50
Rabanete;Goiás;265;68;197;194;71;123;Toneladas;176;61;115;502;162;340;465;144;321;GO;6003788;5420714;583074;143.957;542.896,81;3,77
Repolho;Goiás;339;83;256;5.489;2.716;2.773;Toneladas;5.412;2.696;2.715;3.202;1.170;2.031;3.108;1.157;1.951;GO;6003788;5420714;583074;281.005.182;367.435.197,89;1,31
Rúcula;Goiás;748;157;591;559;249;310;Toneladas;532;239;293;3.499;1.513;1.986;3.346;1.453;1.893;GO;6003788;5420714;583074;107.264;524.668,73;4,89
Salsa;Goiás;829;183;646;422;170;252;Toneladas;390;160;231;2.618;1.117;1.500;2.429;1.036;1.393;GO;6003788;5420714;583074;1.257.258;7.103.032,18;5,65
Salsa;Goiás;829;183;646;422;170;252;Toneladas;390;160;231;2.618;1.117;1.500;2.429;1.036;1.393;GO;6003788;5420714;583074;103.648;288.938,64;2,79
Taioba;Goiás;57;7;50;3;0;2;Toneladas;3;0;2;14;1;13;14;1;13;GO;6003788;5420714;583074;1.068;26.212,00;24,54
Abobrinha;Alagoas;106;14;92;22;2;20;Toneladas;14;1;13;22;2;20;14;1;13;AL;3120494;2297860;822634;8.000;16.400,00;2,05
Acelga;Alagoas;3;1;2;1;X;X;Toneladas;1;X;X;4;X;X;4;X;X;AL;3120494;2297860;822634;28.000;70.000,00;2,50
Agrião;Alagoas;10;1;9;1;X;X;Toneladas;0;X;X;2;X;X;2;X;X;AL;3120494;2297860;822634;X;X;X
Alcachofra;Alagoas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AL;3120494;2297860;822634;X;X;X
Alecrim;Alagoas;11;1;10;1;X;X;Toneladas;1;X;X;6;X;X;6;X;X;AL;3120494;2297860;822634;X;X;X
Alface;Alagoas;700;90;610;4.329;1.286;3.043;Toneladas;4.081;1.266;2.815;6.920;2.045;4.876;6.360;2.005;4.355;AL;3120494;2297860;822634;2.644.150;22.352.472,25;8,45
Almeirão;Alagoas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AL;3120494;2297860;822634;X;X;X
Aspargo;Alagoas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AL;3120494;2297860;822634;X;X;X
Batata-doce;Alagoas;5.070;713;4.357;5.837;1.240;4.598;Toneladas;5.058;1.126;3.932;6.341;1.352;4.988;5.362;1.216;4.146;AL;3120494;2297860;822634;9.069.450;16.312.080,63;1,80
Berinjela;Alagoas;62;15;47;70;10;60;Toneladas;70;10;60;81;10;71;80;10;71;AL;3120494;2297860;822634;204.900;511.847,78;2,50
Bertalha;Alagoas;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AL;3120494;2297860;822634;X;X;X
Beterraba;Alagoas;19;4;15;6;5;1;Toneladas;6;5;1;8;4;4;8;4;4;AL;3120494;2297860;822634;593.900;1.437.373,34;2,42
Boldo;Alagoas;4;2;2;0;X;X;Toneladas;-;X;X;0;X;X;-;X;X;AL;3120494;2297860;822634;X;X;X
Camomila;Alagoas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AL;3120494;2297860;822634;X;X;X
Cará;Alagoas;18;-;18;15;-;15;Toneladas;12;-;12;23;-;23;19;-;19;AL;3120494;2297860;822634;740.000;1.934.909,54;2,61
Caruru;Alagoas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AL;3120494;2297860;822634;X;X;X
Cebolinha;Alagoas;640;73;567;931;272;659;Toneladas;908;266;642;1.992;576;1.416;1.939;562;1.377;AL;3120494;2297860;822634;148.300;289.510,57;1,95
Cenoura;Alagoas;34;3;31;29;4;24;Toneladas;28;4;24;88;21;68;88;20;67;AL;3120494;2297860;822634;3.972.080;10.323.536,76;2,60
Chicória;Alagoas;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AL;3120494;2297860;822634;X;X;X
Chuchu;Alagoas;24;4;20;13;1;12;Toneladas;10;1;9;11;3;8;9;3;6;AL;3120494;2297860;822634;2.989.220;6.273.540,26;2,10
Coentro;Alagoas;1.119;157;962;10.773;2.749;8.024;Toneladas;10.431;2.677;7.754;24.738;7.147;17.590;23.773;7.044;16.729;AL;3120494;2297860;822634;2.644.700;26.951.113,30;10,19
Cogumelos;Alagoas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AL;3120494;2297860;822634;X;X;X
Couve;Alagoas;447;64;383;1.166;175;991;Toneladas;1.148;175;974;1.785;226;1.559;1.762;223;1.539;AL;3120494;2297860;822634;229.100;294.808,84;1,29
Couve-flor;Alagoas;30;2;28;22;X;X;Toneladas;22;X;X;83;X;X;82;X;X;AL;3120494;2297860;822634;1.000;7.000,00;7,00
Couve-flor;Alagoas;30;2;28;22;X;X;Toneladas;22;X;X;83;X;X;82;X;X;AL;3120494;2297860;822634;X;X;X
Espinafre;Alagoas;14;2;12;11;X;X;Toneladas;11;X;X;33;X;X;33;X;X;AL;3120494;2297860;822634;X;X;X
Gengibre;Alagoas;7;1;6;11;X;X;Toneladas;11;X;X;46;X;46;46;X;X;AL;3120494;2297860;822634;X;X;X
Hortelã;Alagoas;30;5;25;13;12;1;Toneladas;13;12;1;38;30;9;35;30;6;AL;3120494;2297860;822634;X;X;X
Inhame;Alagoas;1.490;198;1.292;3.095;1.303;1.792;Toneladas;2.751;1.269;1.482;11.483;5.030;6.453;10.306;4.908;5.398;AL;3120494;2297860;822634;6.356.000;23.106.249,82;3,64
Jiló;Alagoas;10;1;9;6;X;X;Toneladas;6;X;X;14;X;X;14;X;X;AL;3120494;2297860;822634;X;X;X
Lentilha;Alagoas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AL;3120494;2297860;822634;X;X;X
Manjericão;Alagoas;22;5;17;3;2;1;Toneladas;3;2;1;10;3;8;10;3;7;AL;3120494;2297860;822634;X;X;X
