Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Pimenta;São Paulo;1.772;320;1.452;4.878;721;4.157;Toneladas;4.585;707;3.877;10.288;1.933;8.354;9.704;1.846;7.858;SP;41262199;39585251;1676948;251.529.163;1.026.557.997,75;4,08
Quiabo;São Paulo;2.935;462;2.473;15.339;2.041;13.298;Toneladas;14.970;2.027;12.943;27.732;3.579;24.153;27.124;3.536;23.588;SP;41262199;39585251;1676948;65.548.116;325.410.994,24;4,96
Rabanete;São Paulo;939;216;723;2.474;810;1.664;Toneladas;2.370;762;1.607;3.604;1.493;2.110;3.470;1.428;2.042;SP;41262199;39585251;1676948;7.157.094;21.006.656,71;2,94
Repolho;São Paulo;3.650;827;2.823;148.403;59.018;89.386;Toneladas;132.889;54.470;78.419;64.460;28.122;36.338;58.680;25.900;32.780;SP;41262199;39585251;1676948;279.609.076;325.620.176,36;1,16
Rúcula;São Paulo;4.470;985;3.485;18.602;9.994;8.608;Toneladas;17.589;9.515;8.074;57.329;28.488;28.841;53.882;27.019;26.862;SP;41262199;39585251;1676948;18.177.901;96.725.653,63;5,32
Salsa;São Paulo;5.192;1.094;4.098;17.253;5.443;11.809;Toneladas;16.687;5.201;11.487;40.171;15.368;24.803;38.511;14.637;23.874;SP;41262199;39585251;1676948;39.589.370;166.395.750,30;4,20
Salsa;São Paulo;5.192;1.094;4.098;17.253;5.443;11.809;Toneladas;16.687;5.201;11.487;40.171;15.368;24.803;38.511;14.637;23.874;SP;41262199;39585251;1676948;1.018.755;4.085.764,97;4,01
Taioba;São Paulo;99;21;78;4;1;3;Toneladas;3;0;2;21;3;17;14;3;11;SP;41262199;39585251;1676948;X;X;X
Abobrinha;Paraná;4.499;764;3.735;14.788;2.427;12.360;Toneladas;13.979;2.280;11.698;13.585;2.439;11.146;12.802;2.269;10.533;PR;10444526;8912692;1531834;94.519.332;160.306.231,50;1,70
Acelga;Paraná;1.136;160;976;7.052;1.283;5.769;Toneladas;6.670;1.189;5.481;5.477;1.449;4.028;5.154;1.312;3.842;PR;10444526;8912692;1531834;362.052;2.735.200,90;7,55
Agrião;Paraná;602;120;482;2.351;992;1.359;Toneladas;1.732;471;1.261;7.056;3.037;4.019;5.660;1.883;3.777;PR;10444526;8912692;1531834;3.124.058;13.608.642,73;4,36
Alcachofra;Paraná;35;7;28;93;4;89;Toneladas;92;4;88;213;30;182;206;30;176;PR;10444526;8912692;1531834;101.952;784.153,70;7,69
Alecrim;Paraná;119;25;94;21;2;19;Toneladas;21;2;19;138;30;108;133;30;103;PR;10444526;8912692;1531834;137.027;1.122.519,50;8,19
Alface;Paraná;9.742;1.949;7.793;51.664;12.869;38.795;Toneladas;46.702;11.817;34.885;104.334;30.608;73.726;93.747;27.670;66.078;PR;10444526;8912692;1531834;62.156.989;162.488.056,25;2,61
Almeirão;Paraná;2.321;421;1.900;3.488;837;2.651;Toneladas;3.147;666;2.481;8.961;2.189;6.772;8.004;1.753;6.251;PR;10444526;8912692;1531834;980.565;6.933.647,85;7,07
Aspargo;Paraná;12;6;6;3;1;2;Toneladas;3;0;2;31;4;28;29;2;27;PR;10444526;8912692;1531834;56.556;2.452.247,00;43,36
Batata-doce;Paraná;2.899;453;2.446;31.318;21.236;10.082;Toneladas;29.621;20.890;8.732;14.438;7.341;7.098;13.393;7.155;6.239;PR;10444526;8912692;1531834;161.644.271;300.997.482,37;1,86
Berinjela;Paraná;1.063;161;902;4.759;1.004;3.754;Toneladas;4.619;954;3.666;4.372;1.062;3.310;4.251;1.025;3.226;PR;10444526;8912692;1531834;31.641.765;65.379.278,19;2,07
Bertalha;Paraná;9;2;7;15;X;X;Toneladas;15;X;X;25;X;X;25;X;X;PR;10444526;8912692;1531834;X;X;X
Beterraba;Paraná;2.810;488;2.322;14.436;8.869;5.567;Toneladas;13.575;8.297;5.279;10.454;6.135;4.319;9.738;5.650;4.088;PR;10444526;8912692;1531834;85.920.827;148.579.383,87;1,73
Boldo;Paraná;62;11;51;11;10;1;Toneladas;11;10;1;81;80;1;81;80;1;PR;10444526;8912692;1531834;X;X;X
Camomila;Paraná;73;15;58;311;186;124;Toneladas;278;177;101;2.177;1.271;906;1.949;1.206;743;PR;10444526;8912692;1531834;X;X;X
Cará;Paraná;152;22;130;1.659;944;715;Toneladas;1.642;942;700;899;459;440;882;457;425;PR;10444526;8912692;1531834;2.005.810;7.070.794,30;3,53
Caruru;Paraná;5;1;4;7;X;X;Toneladas;7;X;X;7;X;X;7;X;X;PR;10444526;8912692;1531834;X;X;X
Cebolinha;Paraná;5.329;1.078;4.251;6.611;1.173;5.438;Toneladas;6.414;1.127;5.286;16.390;3.771;12.618;15.599;3.584;12.016;PR;10444526;8912692;1531834;6.891.345;49.991.720,98;7,25
Cenoura;Paraná;2.170;399;1.771;24.902;18.223;6.679;Toneladas;24.281;18.053;6.228;16.991;12.149;4.842;16.562;12.074;4.489;PR;10444526;8912692;1531834;159.381.140;294.783.558,36;1,85
Chicória;Paraná;778;139;639;1.930;360;1.570;Toneladas;1.520;328;1.193;4.082;702;3.380;2.917;606;2.311;PR;10444526;8912692;1531834;618;1.027,47;1,66
Chuchu;Paraná;1.357;241;1.116;16.836;4.418;12.418;Toneladas;15.641;4.184;11.457;7.879;2.086;5.793;7.344;1.946;5.398;PR;10444526;8912692;1531834;98.776.205;128.659.009,15;1,30
Coentro;Paraná;487;89;398;369;59;311;Toneladas;363;57;307;1.094;198;896;1.068;186;882;PR;10444526;8912692;1531834;1.380.021;5.252.173,50;3,81
Cogumelos;Paraná;98;13;85;415;23;392;Toneladas;407;22;385;5.063;349;4.714;4.974;329;4.645;PR;10444526;8912692;1531834;1.373.854;18.201.096,47;13,25
Couve;Paraná;5.696;1.208;4.488;6.903;1.396;5.507;Toneladas;6.563;1.328;5.234;16.946;3.877;13.069;16.008;3.666;12.342;PR;10444526;8912692;1531834;10.372.916;40.394.372,29;3,89
Couve-flor;Paraná;2.849;361;2.488;17.182;1.630;15.552;Toneladas;15.851;1.471;14.380;21.470;2.693;18.778;19.971;2.504;17.468;PR;10444526;8912692;1531834;X;X;X
Couve-flor;Paraná;2.849;361;2.488;17.182;1.630;15.552;Toneladas;15.851;1.471;14.380;21.470;2.693;18.778;19.971;2.504;17.468;PR;10444526;8912692;1531834;74.404.629;104.026.567,69;1,40
Espinafre;Paraná;498;92;406;404;78;327;Toneladas;389;75;314;1.031;307;724;993;293;700;PR;10444526;8912692;1531834;1.139.039;6.164.010,37;5,41
Gengibre;Paraná;270;49;221;1.429;884;544;Toneladas;1.406;879;527;2.888;1.566;1.323;2.832;1.556;1.276;PR;10444526;8912692;1531834;6.881.214;32.093.074,09;4,66
Hortelã;Paraná;332;66;266;161;47;113;Toneladas;158;46;112;571;192;379;558;190;367;PR;10444526;8912692;1531834;66.965;2.337.002,94;34,90
Inhame;Paraná;419;67;352;3.236;624;2.612;Toneladas;3.075;595;2.479;2.946;554;2.392;2.810;532;2.277;PR;10444526;8912692;1531834;8.011.766;26.805.719,50;3,35
Jiló;Paraná;849;134;715;1.186;186;1.000;Toneladas;1.138;159;979;1.766;248;1.517;1.698;216;1.482;PR;10444526;8912692;1531834;6.472.699;23.320.390,02;3,60
Lentilha;Paraná;2;-;2;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;PR;10444526;8912692;1531834;X;X;X
Manjericão;Paraná;155;36;119;74;39;34;Toneladas;70;36;34;239;124;115;228;116;112;PR;10444526;8912692;1531834;51.707;2.003.412,50;38,75
Maxixe;Paraná;211;31;180;107;5;101;Toneladas;102;5;97;190;9;180;180;9;171;PR;10444526;8912692;1531834;515.403;1.900.750,03;3,69
Morango;Paraná;1.469;220;1.249;7.989;1.518;6.471;Toneladas;7.870;1.491;6.379;47.922;8.516;39.406;47.157;8.362;38.794;PR;10444526;8912692;1531834;X;X;X
Morango;Paraná;1.469;220;1.249;7.989;1.518;6.471;Toneladas;7.870;1.491;6.379;47.922;8.516;39.406;47.157;8.362;38.794;PR;10444526;8912692;1531834;28.831.809;269.787.852,61;9,36
Nabo;Paraná;111;17;94;166;23;143;Toneladas;163;22;141;151;22;129;148;21;127;PR;10444526;8912692;1531834;1.567.415;2.805.974,58;1,79
Orégano;Paraná;55;10;45;3;1;2;Toneladas;3;1;1;54;35;19;49;35;14;PR;10444526;8912692;1531834;2.347;93.158,00;39,69
Pepino;Paraná;4.561;726;3.835;18.245;3.052;15.193;Toneladas;17.791;2.978;14.813;17.434;2.610;14.824;16.866;2.515;14.351;PR;10444526;8912692;1531834;128.646.850;287.967.863,00;2,24
Pimenta;Paraná;879;165;714;512;121;391;Toneladas;494;118;376;1.396;385;1.011;1.325;374;951;PR;10444526;8912692;1531834;3.859.896;21.571.126,00;5,59
Pimenta;Paraná;879;165;714;512;121;391;Toneladas;494;118;376;1.396;385;1.011;1.325;374;951;PR;10444526;8912692;1531834;70.228.454;246.710.226,12;3,51
Quiabo;Paraná;1.540;276;1.264;2.299;197;2.102;Toneladas;2.253;185;2.069;3.894;388;3.506;3.783;366;3.418;PR;10444526;8912692;1531834;12.769.586;49.768.784,59;3,90
Rabanete;Paraná;747;131;616;1.421;348;1.073;Toneladas;1.371;347;1.024;2.360;745;1.616;2.295;740;1.555;PR;10444526;8912692;1531834;5.804.455;10.501.162,30;1,81
Repolho;Paraná;6.111;964;5.147;65.398;15.431;49.967;Toneladas;59.555;13.771;45.785;31.841;8.770;23.071;28.949;8.164;20.786;PR;10444526;8912692;1531834;206.242.216;196.896.904,28;0,95
Rúcula;Paraná;1.747;311;1.436;3.276;1.127;2.149;Toneladas;3.096;1.040;2.056;12.672;4.964;7.708;11.972;4.618;7.354;PR;10444526;8912692;1531834;3.595.661;82.517.197,03;22,95
Salsa;Paraná;2.420;440;1.980;10.191;806;9.385;Toneladas;10.079;780;9.299;11.887;3.086;8.801;11.422;3.007;8.415;PR;10444526;8912692;1531834;3.306.636;32.846.422,57;9,93
Salsa;Paraná;2.420;440;1.980;10.191;806;9.385;Toneladas;10.079;780;9.299;11.887;3.086;8.801;11.422;3.007;8.415;PR;10444526;8912692;1531834;1.338.466;3.635.871,25;2,72
Taioba;Paraná;31;7;24;14;0;14;Toneladas;14;0;14;24;1;23;23;1;22;PR;10444526;8912692;1531834;X;X;X
Abobrinha;Rio Grande do Sul;1.552;206;1.346;2.603;532;2.071;Toneladas;2.502;500;2.002;2.565;587;1.978;2.441;564;1.876;RS;10693929;9100291;1593638;25.488.600;60.993.694,67;2,39
Acelga;Rio Grande do Sul;120;14;106;279;47;232;Toneladas;270;47;224;627;128;500;616;128;489;RS;10693929;9100291;1593638;16.656;38.018,00;2,28
Agrião;Rio Grande do Sul;477;74;403;1.059;219;840;Toneladas;1.033;215;818;3.762;978;2.784;3.644;949;2.696;RS;10693929;9100291;1593638;1.276.725;5.557.074,98;4,35
Alcachofra;Rio Grande do Sul;32;6;26;13;2;11;Toneladas;12;2;11;52;3;48;50;3;47;RS;10693929;9100291;1593638;5.424;116.943,51;21,56
Alecrim;Rio Grande do Sul;124;28;96;26;2;24;Toneladas;25;2;23;266;10;256;257;10;248;RS;10693929;9100291;1593638;27.709;149.204,78;5,38
Alface;Rio Grande do Sul;6.893;960;5.933;38.717;12.370;26.347;Toneladas;36.402;11.866;24.537;98.500;33.714;64.786;92.744;32.291;60.453;RS;10693929;9100291;1593638;38.275.420;103.143.884,24;2,69
Almeirão;Rio Grande do Sul;501;75;426;1.007;317;690;Toneladas;927;286;641;2.928;1.010;1.918;2.790;982;1.808;RS;10693929;9100291;1593638;605.941;3.336.945,59;5,51
Aspargo;Rio Grande do Sul;4;1;3;2;X;X;Toneladas;2;X;X;13;X;X;13;X;X;RS;10693929;9100291;1593638;14;1.096,67;78,33
Batata-doce;Rio Grande do Sul;5.222;556;4.666;47.604;7.763;39.841;Toneladas;45.397;7.541;37.856;36.389;6.032;30.357;33.780;5.813;27.967;RS;10693929;9100291;1593638;118.408.109;223.639.814,80;1,89
Berinjela;Rio Grande do Sul;511;72;439;1.200;325;875;Toneladas;1.177;320;857;1.584;426;1.158;1.539;416;1.124;RS;10693929;9100291;1593638;9.853.204;41.678.611,19;4,23
Bertalha;Rio Grande do Sul;8;1;7;4;X;X;Toneladas;3;X;X;28;X;X;27;X;X;RS;10693929;9100291;1593638;X;X;X
Beterraba;Rio Grande do Sul;3.358;392;2.966;18.688;12.183;6.505;Toneladas;18.374;12.049;6.325;15.871;7.901;7.970;15.375;7.760;7.614;RS;10693929;9100291;1593638;50.134.814;209.936.460,82;4,19
Boldo;Rio Grande do Sul;26;10;16;0;0;0;Toneladas;0;0;0;3;1;2;2;1;2;RS;10693929;9100291;1593638;X;X;X
Camomila;Rio Grande do Sul;49;12;37;4;2;2;Toneladas;4;2;2;36;4;31;35;4;31;RS;10693929;9100291;1593638;X;X;X
Cará;Rio Grande do Sul;15;1;14;4;X;X;Toneladas;4;X;X;19;X;X;18;X;X;RS;10693929;9100291;1593638;250.830;1.414.620,85;5,64
Caruru;Rio Grande do Sul;6;-;6;0;-;0;Toneladas;0;-;0;1;-;1;1;-;1;RS;10693929;9100291;1593638;X;X;X
Cebolinha;Rio Grande do Sul;2.264;344;1.920;2.012;552;1.460;Toneladas;1.926;535;1.391;7.585;1.885;5.701;7.265;1.825;5.440;RS;10693929;9100291;1593638;X;X;X
Cenoura;Rio Grande do Sul;2.231;297;1.934;41.922;34.754;7.168;Toneladas;41.671;34.738;6.933;33.448;24.891;8.557;33.150;24.871;8.279;RS;10693929;9100291;1593638;86.265.025;213.367.212,36;2,47
Chicória;Rio Grande do Sul;518;68;450;939;127;812;Toneladas;858;123;735;1.850;291;1.559;1.697;273;1.424;RS;10693929;9100291;1593638;343.901;759.201,20;2,21
Chuchu;Rio Grande do Sul;927;102;825;1.290;77;1.212;Toneladas;1.225;72;1.153;1.045;90;955;957;81;876;RS;10693929;9100291;1593638;50.459.939;96.322.522,45;1,91
Coentro;Rio Grande do Sul;55;12;43;104;91;13;Toneladas;104;91;12;752;708;43;749;708;40;RS;10693929;9100291;1593638;X;X;X
Cogumelos;Rio Grande do Sul;19;5;14;127;40;88;Toneladas;112;40;72;2.789;860;1.929;2.422;860;1.562;RS;10693929;9100291;1593638;X;X;X
Couve;Rio Grande do Sul;3.302;407;2.895;8.562;2.035;6.527;Toneladas;8.250;1.968;6.283;20.229;5.967;14.262;19.436;5.695;13.741;RS;10693929;9100291;1593638;14.653.478;34.448.664,60;2,35
Couve-flor;Rio Grande do Sul;2.505;256;2.249;11.628;2.108;9.521;Toneladas;11.196;2.001;9.195;19.545;4.434;15.111;18.537;4.242;14.295;RS;10693929;9100291;1593638;X;X;X
Couve-flor;Rio Grande do Sul;2.505;256;2.249;11.628;2.108;9.521;Toneladas;11.196;2.001;9.195;19.545;4.434;15.111;18.537;4.242;14.295;RS;10693929;9100291;1593638;42.202.839;60.542.558,11;1,43
Espinafre;Rio Grande do Sul;698;83;615;1.116;168;948;Toneladas;1.027;152;876;3.842;591;3.251;3.607;541;3.066;RS;10693929;9100291;1593638;1.888.380;5.307.465,36;2,81
Gengibre;Rio Grande do Sul;48;11;37;20;12;8;Toneladas;20;12;8;135;111;25;135;110;24;RS;10693929;9100291;1593638;2.763.143;19.916.569,91;7,21
Hortelã;Rio Grande do Sul;110;24;86;45;11;33;Toneladas;41;11;30;174;56;118;168;56;112;RS;10693929;9100291;1593638;X;X;X
Inhame;Rio Grande do Sul;32;4;28;30;15;15;Toneladas;28;15;13;98;61;36;95;61;34;RS;10693929;9100291;1593638;377.842;2.324.536,72;6,15
Jiló;Rio Grande do Sul;2;-;2;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;RS;10693929;9100291;1593638;87.541;786.229,07;8,98
Lentilha;Rio Grande do Sul;6;3;3;1;0;0;Toneladas;0;0;0;3;2;1;2;2;1;RS;10693929;9100291;1593638;X;X;X
Manjericão;Rio Grande do Sul;160;30;130;66;9;57;Toneladas;63;9;55;364;61;303;342;61;281;RS;10693929;9100291;1593638;51.774;211.135,50;4,08
Maxixe;Rio Grande do Sul;10;2;8;1;X;X;Toneladas;0;X;X;2;X;X;2;X;X;RS;10693929;9100291;1593638;13.498;112.228,24;8,31
Morango;Rio Grande do Sul;2.049;245;1.804;13.256;5.770;7.486;Toneladas;13.070;5.709;7.362;92.840;35.888;56.953;91.105;35.536;55.569;RS;10693929;9100291;1593638;55.105.874;379.754.183,00;6,89
Morango;Rio Grande do Sul;2.049;245;1.804;13.256;5.770;7.486;Toneladas;13.070;5.709;7.362;92.840;35.888;56.953;91.105;35.536;55.569;RS;10693929;9100291;1593638;14.260.039;175.880.789,98;12,33
Nabo;Rio Grande do Sul;146;19;127;149;46;103;Toneladas;121;21;100;241;81;160;186;31;155;RS;10693929;9100291;1593638;436.060;968.312,60;2,22
Orégano;Rio Grande do Sul;55;8;47;5;0;5;Toneladas;5;0;5;65;4;61;62;3;59;RS;10693929;9100291;1593638;X;X;X
Pepino;Rio Grande do Sul;3.560;348;3.212;8.142;1.022;7.120;Toneladas;7.977;1.011;6.966;13.486;1.607;11.879;13.115;1.576;11.538;RS;10693929;9100291;1593638;49.558.100;127.569.429,41;2,57
Pimenta;Rio Grande do Sul;255;27;228;112;14;97;Toneladas;97;14;83;540;44;496;453;44;409;RS;10693929;9100291;1593638;1.101.927;12.060.904,87;10,95
Pimenta;Rio Grande do Sul;255;27;228;112;14;97;Toneladas;97;14;83;540;44;496;453;44;409;RS;10693929;9100291;1593638;39.285.729;234.287.146,98;5,96
Quiabo;Rio Grande do Sul;92;8;84;56;7;48;Toneladas;55;7;48;170;27;142;168;27;141;RS;10693929;9100291;1593638;850.154;8.819.740,82;10,37
Rabanete;Rio Grande do Sul;1.454;135;1.319;1.718;279;1.439;Toneladas;1.674;258;1.416;3.182;318;2.865;3.104;294;2.811;RS;10693929;9100291;1593638;4.800.941;15.150.123,02;3,16
Repolho;Rio Grande do Sul;4.962;563;4.399;38.240;8.652;29.589;Toneladas;34.529;7.794;26.736;29.829;8.335;21.494;27.563;7.857;19.706;RS;10693929;9100291;1593638;118.783.607;141.301.901,20;1,19
Rúcula;Rio Grande do Sul;1.799;220;1.579;4.361;1.374;2.987;Toneladas;4.170;1.352;2.818;16.271;5.355;10.915;15.614;5.257;10.357;RS;10693929;9100291;1593638;3.521.818;23.915.449,75;6,79
Salsa;Rio Grande do Sul;3.423;486;2.937;3.629;946;2.684;Toneladas;3.472;925;2.548;14.968;4.509;10.459;14.248;4.427;9.821;RS;10693929;9100291;1593638;X;X;X
Salsa;Rio Grande do Sul;3.423;486;2.937;3.629;946;2.684;Toneladas;3.472;925;2.548;14.968;4.509;10.459;14.248;4.427;9.821;RS;10693929;9100291;1593638;287.998;1.785.596,89;6,20
Taioba;Rio Grande do Sul;1;1;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;RS;10693929;9100291;1593638;X;X;X
Abobrinha;Amapá;34;5;29;74;16;58;Toneladas;44;3;41;161;22;139;107;9;98;AP;669526;601036;68490;X;X;X
Acelga;Amapá;1;1;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;AP;669526;601036;68490;X;X;X
Agrião;Amapá;3;1;2;0;X;X;Toneladas;0;X;X;1;X;X;1;X;X;AP;669526;601036;68490;X;X;X
Alcachofra;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Alecrim;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Alface;Amapá;329;60;269;892;241;651;Toneladas;833;232;600;3.903;1.021;2.882;3.679;956;2.723;AP;669526;601036;68490;X;X;X
Almeirão;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Aspargo;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Batata-doce;Amapá;416;41;375;186;11;175;Toneladas;151;9;142;487;31;456;371;27;344;AP;669526;601036;68490;X;X;X
Berinjela;Amapá;28;10;18;39;28;11;Toneladas;30;19;10;116;74;43;85;45;40;AP;669526;601036;68490;X;X;X
Bertalha;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Beterraba;Amapá;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AP;669526;601036;68490;X;X;X
Boldo;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Camomila;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Cará;Amapá;629;64;565;169;8;161;Toneladas;107;5;102;575;22;553;333;13;320;AP;669526;601036;68490;X;X;X
Caruru;Amapá;16;2;14;2;X;X;Toneladas;2;X;X;11;X;X;10;X;X;AP;669526;601036;68490;X;X;X
Cebolinha;Amapá;544;101;443;1.841;539;1.301;Toneladas;1.696;457;1.238;6.851;2.111;4.740;6.234;1.704;4.530;AP;669526;601036;68490;X;X;X
Cenoura;Amapá;1;1;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;AP;669526;601036;68490;X;X;X
Chicória;Amapá;229;49;180;271;60;212;Toneladas;258;57;201;1.046;251;795;919;241;678;AP;669526;601036;68490;X;X;X
Chuchu;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Coentro;Amapá;480;93;387;1.700;389;1.311;Toneladas;1.459;361;1.098;5.769;1.495;4.273;5.287;1.450;3.836;AP;669526;601036;68490;X;X;X
Cogumelos;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Couve;Amapá;414;81;333;1.012;300;712;Toneladas;971;277;693;2.482;709;1.773;2.385;660;1.724;AP;669526;601036;68490;X;X;X
Couve-flor;Amapá;6;1;5;1;X;X;Toneladas;0;X;X;5;X;X;3;X;X;AP;669526;601036;68490;X;X;X
Couve-flor;Amapá;6;1;5;1;X;X;Toneladas;0;X;X;5;X;X;3;X;X;AP;669526;601036;68490;X;X;X
Espinafre;Amapá;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AP;669526;601036;68490;X;X;X
Gengibre;Amapá;103;17;86;2;0;2;Toneladas;1;0;1;8;0;8;5;0;5;AP;669526;601036;68490;X;X;X
Hortelã;Amapá;21;4;17;20;3;17;Toneladas;19;3;16;121;35;86;119;35;84;AP;669526;601036;68490;X;X;X
Inhame;Amapá;55;5;50;6;1;5;Toneladas;5;1;3;24;7;17;18;6;11;AP;669526;601036;68490;X;X;X
Jiló;Amapá;18;7;11;19;8;11;Toneladas;16;5;11;55;19;36;46;11;35;AP;669526;601036;68490;X;X;X
Lentilha;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Manjericão;Amapá;11;4;7;7;6;2;Toneladas;7;6;2;63;55;7;61;54;7;AP;669526;601036;68490;X;X;X
Maxixe;Amapá;319;59;260;634;129;505;Toneladas;590;127;463;2.059;369;1.690;1.881;360;1.521;AP;669526;601036;68490;X;X;X
Morango;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Morango;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Nabo;Amapá;1;1;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;AP;669526;601036;68490;X;X;X
Orégano;Amapá;3;2;1;0;X;X;Toneladas;0;X;X;0;X;X;0;X;X;AP;669526;601036;68490;X;X;X
Pepino;Amapá;301;53;248;1.117;269;847;Toneladas;1.078;259;819;2.066;523;1.543;1.981;490;1.491;AP;669526;601036;68490;X;X;X
Pimenta;Amapá;979;141;838;543;101;443;Toneladas;483;98;385;4.247;649;3.598;3.684;626;3.057;AP;669526;601036;68490;X;X;X
Pimenta;Amapá;979;141;838;543;101;443;Toneladas;483;98;385;4.247;649;3.598;3.684;626;3.057;AP;669526;601036;68490;X;X;X
Quiabo;Amapá;125;29;96;79;27;53;Toneladas;73;22;51;261;115;145;240;100;140;AP;669526;601036;68490;X;X;X
Rabanete;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Repolho;Amapá;21;4;17;36;5;31;Toneladas;35;5;30;73;11;63;71;10;61;AP;669526;601036;68490;X;X;X
Rúcula;Amapá;12;3;9;11;7;3;Toneladas;11;7;3;74;66;8;73;65;8;AP;669526;601036;68490;X;X;X
Salsa;Amapá;28;5;23;18;2;17;Toneladas;18;2;16;75;14;61;73;14;59;AP;669526;601036;68490;X;X;X
Salsa;Amapá;28;5;23;18;2;17;Toneladas;18;2;16;75;14;61;73;14;59;AP;669526;601036;68490;X;X;X
Taioba;Amapá;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AP;669526;601036;68490;X;X;X
Abobrinha;Amazonas;261;31;230;384;106;278;Toneladas;353;106;247;583;151;432;536;150;386;AM;3483985;2755490;728495;X;X;X
Acelga;Amazonas;3;2;1;5;X;X;Toneladas;5;X;X;28;X;X;28;X;X;AM;3483985;2755490;728495;X;X;X
Agrião;Amazonas;54;1;53;17;X;X;Toneladas;16;X;X;103;X;X;96;X;X;AM;3483985;2755490;728495;X;X;X
Alcachofra;Amazonas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AM;3483985;2755490;728495;X;X;X
Alecrim;Amazonas;6;1;5;0;X;X;Toneladas;0;X;X;0;X;X;0;X;X;AM;3483985;2755490;728495;X;X;X
Alface;Amazonas;784;125;659;1.777;1.009;768;Toneladas;1.713;969;743;8.326;4.684;3.642;7.953;4.454;3.499;AM;3483985;2755490;728495;X;X;X
Almeirão;Amazonas;14;1;13;2;X;X;Toneladas;2;X;X;12;X;X;11;X;X;AM;3483985;2755490;728495;X;X;X
Aspargo;Amazonas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AM;3483985;2755490;728495;X;X;X
Batata-doce;Amazonas;2.356;126;2.230;1.941;125;1.816;Toneladas;1.640;112;1.529;3.452;278;3.174;2.775;239;2.536;AM;3483985;2755490;728495;X;X;X
Berinjela;Amazonas;141;23;118;357;82;275;Toneladas;356;82;274;482;124;358;480;124;355;AM;3483985;2755490;728495;X;X;X
Bertalha;Amazonas;2;-;2;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AM;3483985;2755490;728495;X;X;X
Beterraba;Amazonas;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AM;3483985;2755490;728495;X;X;X
Boldo;Amazonas;96;3;93;1;0;1;Toneladas;0;0;0;8;0;8;1;0;1;AM;3483985;2755490;728495;X;X;X
Camomila;Amazonas;3;-;3;0;-;0;Toneladas;0;-;0;0;-;0;0;-;0;AM;3483985;2755490;728495;X;X;X
Cará;Amazonas;3.114;158;2.956;1.077;48;1.030;Toneladas;725;28;697;1.568;60;1.508;830;27;803;AM;3483985;2755490;728495;X;X;X
